Age_Group,2002–2003 ,2003–2004 ,2004–2005 ,2005–2006 ,2006–2007 ,2007–2008 ,2008–2009 ,2009–2010 ,2010–2011 ,2011–2012 ,2012–2013 ,2013–2014 ,2014-2015,2015-2016,2016-2017
Total,8.8,7,6.9,7.5,8.8,10.3,10.1,12.1,11.1,10,13.1,15,,,
12-17,10.6,11.6,10.4,7,8.3,9.9,11.1,9.9,10.8,10.9,12.3,14.9,11.13,9.08,9.02
18-25,21.9,18.5,21.5,22.9,22.9,24.4,24.8,26.2,28.5,28.5,29.9,31.5,31.75,32.2,31.74
>26,6.2,4.3,3.8,4.9,6.5,7.9,7.6,10,8.1,6.8,10.4,12.2,14.65,14,14.81
26-34,11.4,7.9,8.3,9.7,8.7,10.1,14.5,18.4,12,8.8,15.2,21.9,,,
35-44,10.2,7.5,4.9,4.2,6.2,10.9,9.8,8.8,7.9,10.7,16.3,16.1,,,
45-54,4.2,2.1,2.2,6.2,10.6,9,2.6,10,10.9,8.7,11.6,10.7,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
